iter	Passed	Remaining
687	67215	30481
688	67267	30362
689	67316	30243
690	67371	30126
691	67415	30005
692	67461	29885
693	67508	29765
694	67553	29645
695	67597	29525
696	67640	29404
697	67682	29283
698	67730	29165
699	67774	29046
700	67820	28927
701	67872	28811
702	67928	28698
703	67976	28580
704	68027	28465
705	68074	28348
706	68126	28233
707	68178	28118
708	68232	28005
709	68283	27890
710	68335	27776
711	68390	27663
712	68439	27548
713	68495	27436
714	68550	27324
715	68599	27209
716	68644	27094
717	68689	26978
718	68734	26862
719	68782	26748
720	68826	26633
721	68871	26518
722	68915	26403
723	68957	26287
724	68999	26172
725	69045	26058
726	69089	25944
727	69134	25830
728	69178	25716
729	69223	25603
730	69267	25489
731	69321	25379
732	69372	25269
733	69442	25165
734	69501	25058
735	69561	24951
736	69613	24841
737	69667	24733
738	69715	24622
739	69765	24512
740	69813	24401
741	69861	24291
742	69907	24180
743	69955	24070
744	70002	23960
745	70047	23849
746	70093	23739
747	70138	23629
748	70182	23519
749	70226	23408
750	70272	23299
751	70332	23194
752	70385	23087
753	70428	22978
754	70469	22867
755	70510	22757
756	70551	22647
757	70591	22537
758	70634	22428
759	70678	22319
760	70722	22211
761	70765	22102
762	70807	21993
763	70848	21885
764	70888	21776
765	70928	21667
766	70967	21558
767	71006	21450
768	71047	21341
769	71086	21233
770	71127	21125
771	71168	21018
772	71212	20912
773	71250	20804
774	71292	20697
775	71335	20591
776	71376	20485
777	71416	20378
778	71455	20271
779	71492	20164
780	71529	20057
781	71563	19949
782	71598	19842
783	71636	19736
784	71672	19630
785	71707	19523
786	71742	19416
787	71780	19311
788	71817	19205
789	71854	19100
790	71892	18995
791	71932	18891
792	71972	18787
793	72011	18683
794	72049	18578
795	72094	18476
796	72138	18374
797	72180	18271
798	72227	18169
799	72275	18068
800	72318	17966
801	72357	17863
802	72398	17761
803	72438	17659
804	72482	17557
805	72520	17455
806	72561	17353
807	72601	17251
808	72640	17150
809	72679	17048
810	72720	16947
811	72759	16845
812	72799	16744
813	72839	16643
814	72886	16544
815	72933	16445
816	72974	16345
817	73015	16245
818	73057	16145
819	73098	16046
820	73139	15946
821	73190	15849
822	73232	15749
823	73278	15651
824	73323	15553
825	73366	15454
826	73406	15355
827	73447	15257
828	73487	15158
829	73526	15059
830	73568	14961
831	73609	14863
832	73648	14765
833	73689	14667
834	73732	14569
835	73799	14477
836	73851	14382
837	73894	14285
838	73933	14187
839	73973	14090
840	74012	13992
841	74052	13895
842	74094	13799
843	74133	13702
844	74177	13606
845	74221	13510
